time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD_Cin,6PPD-Q_Cout,6PPD-Q_Cin,CBZ_Cout,CBZ_Cin,BTZ_Cout,BTZ_Cin,SFX_Cout,SFX_Cin,FIP_Cout,FIP_Cin,HMMM_Cout,HMMM_Cin,CAFF_Cout,CAFF_Cin,Bromide_Min
0.0,6e-05,6e-05,22.2,22.2,22.2,7.3,7.3,415.0,8.38,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.981408872342638e-05,5.981408872342638e-05,22.181581076285156,22.181581076285156,22.181581076285156,7.307580750949396,7.307580750949396,413.1200463135778,8.38211398469205,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.962774480420268e-05,5.962774480420268e-05,22.163181706497017,22.163181706497017,22.163181706497017,7.31516521951942,7.31516521951942,411.24056908037335,8.384227516930043,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,5.944099267697888e-05,5.944099267697888e-05,22.144803431725364,22.144803431725364,22.144803431725364,7.322752605608653,7.322752605608653,409.36167369738024,8.38634047509814,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.925385677640491e-05,5.925385677640491e-05,22.126447793059995,22.126447793059995,22.126447793059995,7.330342109115674,7.330342109115674,407.48346556159197,8.388452737580495,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5.906636153713074e-05,5.906636153713074e-05,22.108116331590693,22.108116331590693,22.108116331590693,7.337932929939063,7.337932929939063,405.6060500700022,8.390564182761269,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.8878531393806305e-05,5.8878531393806305e-05,22.089810588407246,22.089810588407246,22.089810588407246,7.3455242679773995,7.3455242679773995,403.72953261960447,8.392674689024616,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,5.8690390781081575e-05,5.8690390781081575e-05,22.07153210459945,22.07153210459945,22.07153210459945,7.353115323129264,7.353115323129264,401.85401860739233,8.394784134754694,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.850196413360648e-05,5.850196413360648e-05,22.053282421257087,22.053282421257087,22.053282421257087,7.360705295293234,7.360705295293234,399.9796134303594,8.396892398335664,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,5.8313275886030996e-05,5.8313275886030996e-05,22.035063079469946,22.035063079469946,22.035063079469946,7.368293384367893,7.368293384367893,398.1064224854992,8.398999358151677,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.812435047300506e-05,5.812435047300506e-05,22.016875620327824,22.016875620327824,22.016875620327824,7.375878790251818,7.375878790251818,396.2345511698053,8.401104892586893,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
