time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD-Q_Cout,CBZ_Cout,BTZ_Cout,SFX_Cout,FIP_Cout,HMMM_Cout,CAFF_Cout,Bromide_Min
0.0,6e-05,6e-05,22.7,22.7,22.7,6.53,6.53,1171.0,6.19,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.9816421727681414e-05,5.9816421727681414e-05,22.678693983519544,22.678693983519544,22.678693983519544,6.542201317428682,6.542201317428682,1165.4034935480277,6.186964287716788,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.963241624195387e-05,5.963241624195387e-05,22.657400802279923,22.657400802279923,22.657400802279923,6.554419986015252,6.554419986015252,1159.8017231062377,6.183949358672929,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,5.9448007670836396e-05,5.9448007670836396e-05,22.63612237682668,22.63612237682668,22.63612237682668,6.5666545577655295,6.5666545577655295,1154.1952149969627,6.180955219357155,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.926322014234807e-05,5.926322014234807e-05,22.61486062770534,22.61486062770534,22.61486062770534,6.578903584685337,6.578903584685337,1148.584495542535,6.177981876258196,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5.907807778450792e-05,5.907807778450792e-05,22.593617475461425,22.593617475461425,22.593617475461425,6.591165618780495,6.591165618780495,1142.9700910652869,6.175029335864783,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.889260472533501e-05,5.889260472533501e-05,22.572394840640477,22.572394840640477,22.572394840640477,6.603439212056824,6.603439212056824,1137.3525278875513,6.172097604665647,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,5.870682509284839e-05,5.870682509284839e-05,22.55119464378801,22.55119464378801,22.55119464378801,6.615722916520145,6.615722916520145,1131.7323323316598,6.169186689149519,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.8520763015067106e-05,5.8520763015067106e-05,22.53001880544957,22.53001880544957,22.53001880544957,6.6280152841762785,6.6280152841762785,1126.1100307199456,6.166296595805128,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,5.833444262001022e-05,5.833444262001022e-05,22.508869246170665,22.508869246170665,22.508869246170665,6.640314867031046,6.640314867031046,1120.4861493747403,6.163427331121205,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.814788803569676e-05,5.814788803569676e-05,22.48774788649684,22.48774788649684,22.48774788649684,6.652620217090267,6.652620217090267,1114.8612146183773,6.16057890158648,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,5.79611233901458e-05,5.79611233901458e-05,22.46665664697362,22.46665664697362,22.46665664697362,6.664929886359765,6.664929886359765,1109.2357527731879,6.157751313689687,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,5.7774172811376394e-05,5.7774172811376394e-05,22.44559744814654,22.44559744814654,22.44559744814654,6.677242426845358,6.677242426845358,1103.610290161505,6.154944573919552,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,5.7587060427407574e-05,5.7587060427407574e-05,22.42457221056112,22.42457221056112,22.42457221056112,6.689556390552869,6.689556390552869,1097.985353105661,6.15215868876481,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,5.73998103662584e-05,5.73998103662584e-05,22.40358285476289,22.40358285476289,22.40358285476289,6.701870329488116,6.701870329488116,1092.3614679279888,6.149393664714188,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
