time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD_Cin,6PPD-Q_Cout,6PPD-Q_Cin,CBZ_Cout,CBZ_Cin,BTZ_Cout,BTZ_Cin,SFX_Cout,SFX_Cin,FIP_Cout,FIP_Cin,HMMM_Cout,HMMM_Cin,CAFF_Cout,CAFF_Cin,Bromide_Min
0.0,6e-05,6e-05,22.0,22.0,22.0,6.83,6.83,1313.0,6.13,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.990449263830924e-05,5.990449263830924e-05,21.9846265330028,21.9846265330028,21.9846265330028,6.839923316006596,6.839923316006596,1303.5887922961774,6.130242427709689,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.9808763017060986e-05,5.9808763017060986e-05,21.96927490581201,21.96927490581201,21.96927490581201,6.849857721661163,6.849857721661163,1294.1653880272538,6.13049216836132,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,5.971282368895778e-05,5.971282368895778e-05,21.953946326920107,21.953946326920107,21.953946326920107,6.859802081905796,6.859802081905796,1284.730766122418,6.130749181579913,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.9616687206702134e-05,5.9616687206702134e-05,21.938642004819542,21.938642004819542,21.938642004819542,6.869755261682593,6.869755261682593,1275.2859055108586,6.131013426990494,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5.952036612299657e-05,5.952036612299657e-05,21.92336314800279,21.92336314800279,21.92336314800279,6.8797161259336495,6.8797161259336495,1265.8317851217657,6.131284864218086,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.942387299054363e-05,5.942387299054363e-05,21.908110964962308,21.908110964962308,21.908110964962308,6.889683539601063,6.889683539601063,1256.369383884328,6.131563452887714,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,5.932722036204583e-05,5.932722036204583e-05,21.892886664190563,21.892886664190563,21.892886664190563,6.899656367626928,6.899656367626928,1246.8996807277347,6.131849152624401,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.9230420790205686e-05,5.9230420790205686e-05,21.877691454180017,21.877691454180017,21.877691454180017,6.909633474953342,6.909633474953342,1237.4236545811746,6.132141923053172,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,5.9133486827725726e-05,5.9133486827725726e-05,21.86252654342314,21.86252654342314,21.86252654342314,6.9196137265224005,6.9196137265224005,1227.942284373837,6.132441723799049,0.0,0,0,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
