,rank,rank_std,6PPDQ_RQ_sum,6PPDQ_RQ_av,6PPDQ_pct_Qover,6PPDQ_pct_advected,6PPDQ_MEC_ngl,6PPDQ_pct_stormsewer,PFOA_RQ_sum,PFOA_RQ_av,PFOA_pct_Qover,PFOA_pct_advected,PFOA_MEC_ngl,PFOA_pct_stormsewer,Phe_RQ_sum,Phe_RQ_av,Phe_pct_Qover,Phe_pct_advected,Phe_MEC_ngl,Phe_pct_stormsewer,BaP_RQ_sum,BaP_RQ_av,BaP_pct_Qover,BaP_pct_advected,BaP_MEC_ngl,BaP_pct_stormsewer,Benzotriazole_RQ_sum,Benzotriazole_RQ_av,Benzotriazole_pct_Qover,Benzotriazole_pct_advected,Benzotriazole_MEC_ngl,Benzotriazole_pct_stormsewer
EngDesign,,,1.0,0.09410971018859586,0.13552652188104042,0.25421020285866264,94.10971018859588,0.16647538852036403,1.0,0.19766714152398296,0.13552652188104042,0.8053930467862652,197.66714152398296,0.31115277810358094,1.0,0.07160177026385642,0.13552652188104042,0.14587979908438906,71.60177026385642,0.1358363241525327,1.0,0.06874582748788412,0.13552652188104042,0.1323052738556462,68.74582748788413,0.13211420368704016,1.0,0.18584772185051232,0.13552652188104042,0.7365772390479981,185.84772185051233,0.29502182630511076
EngDesignfvalve,,,0.858873332307208,0.15298735386169532,0.13552652188104042,0.2509062021099203,152.9873538616953,0.13172926845442368,0.2608492594943053,0.1532298073750305,0.13552652188104042,0.8053919630025838,153.22980737503053,0.1319030572070585,1.8265759775844166,0.15272979490654562,0.13552652188104042,0.14497088155937154,152.7297949065456,0.13155903484890955,2.1216690754614214,0.15341474250787293,0.13552652188104042,0.13228223637528083,153.41474250787294,0.1320301029223334,0.2710206703314444,0.15337834222772767,0.13552652188104042,0.7358736826933505,153.37834222772767,0.13200446105348637
EngDesignFoc,,,0.5277113788049328,0.07432793161700277,0.13552652188104042,0.15824809047540067,74.32793161700276,0.1395532066081319,0.9999645589114464,0.19765115410915626,0.13552652188104042,0.80524256776076,197.65115410915624,0.3111368435100697,0.911506723071484,0.06965348640197884,0.13552652188104042,0.13698839456746228,69.65348640197885,0.13320591929766393,0.999975714322514,0.06874539399203135,0.13552652188104042,0.1323033140364383,68.74539399203135,0.13211361333323327,0.78215094717187,0.1513722946261737,0.13552652188104042,0.5534627643171197,151.37229462617367,0.24623969359588488
EngDesignKinf,,,0.8099682513614641,0.07516989837005703,0.0650253140158056,0.27132528762736546,75.16989837005703,0.16952793159629406,0.9377452875767057,0.1925072720945065,0.0650253140158056,0.8737893045895275,192.50727209450653,0.4047045793645272,0.38378651470491276,0.03369179265706819,0.0650253140158056,0.09828772485333226,33.691792657068206,0.08294264476852932,0.1984182390242967,0.025274985235785453,0.0650253140158056,0.06522435030052058,25.274985235785458,0.0648824460282809,0.9363765797873581,0.18123405799588727,0.0650253140158056,0.7995387537769684,181.2340579958873,0.3818067497594796
EngDesignDsys,,,0.7569406261110813,0.08399761993809583,0.13552652188104042,0.1993496594051179,83.99761993809584,0.1512180893583963,0.9730655196844961,0.1864978703407203,0.13552652188104042,0.7610243395079461,186.49787034072034,0.2944397322557327,0.927939716580363,0.07114771072848657,0.13552652188104042,0.13729958339276868,71.14771072848657,0.1333417564050839,1.0085550155709833,0.07013679113761404,0.13552652188104042,0.13210692837843555,70.13679113761404,0.132054875778755,0.9483752717988334,0.17140087142034519,0.13552652188104042,0.6665299136474303,171.40087142034517,0.2738829522784189
EngDesignAsys,,,0.3495390068505709,0.05785092526612505,0.04006076038140134,0.16786311984377367,57.850925266125046,0.06479576198475852,0.46709534774218253,0.18150433087782367,0.04006076038140134,0.8540568119474451,181.50433087782372,0.16870940933707232,0.22035173143873324,0.030605283986934025,0.04006076038140134,0.054525865353735437,30.60528398693403,0.04294728453396945,0.17583722646153488,0.026929038077049477,0.04006076038140134,0.040284899840773776,26.929038077049476,0.04006647836104067,0.4545097804562328,0.16698432988419953,0.04006076038140134,0.7500793432855176,166.98432988419955,0.15526847374549235
EngDesignHp,,,0.9323245724621784,0.07121314570622615,0.08164330385551513,0.2288160889952117,71.21314570622617,0.1304215949592081,1.0659405258497419,0.19893247301817144,0.08164330385551513,0.8615178538139244,198.93247301817146,0.32728416817252215,0.696131260582084,0.042926698989349976,0.08164330385551513,0.09909274847170922,42.92669898934999,0.08739531219469208,0.6130129183812435,0.03895275362479087,0.08164330385551513,0.08160229637027201,38.95275362479087,0.08137538575467429,1.0603171102744466,0.18449928467940246,0.08164330385551513,0.7860465524994409,184.49928467940248,0.3057741623083276
EngDesignhpipe,,,0.8271857562708025,0.10971190948381204,0.13552652188104042,0.24369603583673308,109.71190948381204,0.14607233866776675,0.6384649986069956,0.18387127544195353,0.13552652188104042,0.7097929903037625,183.8712754419535,0.20491434768211217,1.1370851422779902,0.09319366646683669,0.13552652188104042,0.1452657498485773,93.1936664668367,0.13338542527679226,1.2215920734917978,0.09116055233390039,0.13552652188104042,0.13229792808663438,91.16055233390038,0.1320664482117238,0.6383618111632146,0.17557465426037175,0.13552652188104042,0.6595304553067444,175.57465426037174,0.19833404712898603
